"","CC18_322a","CC18_322b","CC18_322c_new","CC18_322d_new","CC18_322c","CC18_322f"
"15543",2,1,2,2,2,2
"15544",2,1,2,1,1,1
"15545",2,1,2,2,1,1
"15546",1,2,1,2,1,1
"15547",2,1,1,2,1,2
"15548",1,1,2,1,1,1
"15549",1,1,2,1,1,1
"15550",1,1,2,1,1,2
"15551",2,1,2,2,2,2
"15552",2,1,2,2,2,2
"15553",2,1,1,2,2,2
"15554",1,2,1,1,1,1
"15555",2,1,2,2,2,1
"15556",1,1,1,1,1,1
"15557",1,2,1,2,1,1
"15558",1,1,1,1,1,1
"15559",1,2,1,2,1,1
"15560",2,1,1,1,1,1
"15561",1,1,1,1,1,1
"15562",1,2,1,2,1,1
"15563",2,1,2,2,2,2
"15564",1,2,2,2,2,1
"15565",2,1,1,2,1,2
"15566",2,1,2,2,2,2
"15567",1,1,1,1,1,1
"15568",1,2,2,2,1,1
"15569",2,1,2,2,1,2
"15570",2,1,2,2,2,2
"15571",2,1,2,2,1,1
"15572",1,2,1,2,1,1
"15573",1,1,1,1,1,1
"15574",1,2,1,2,1,1
"15575",2,1,2,2,2,2
"15576",1,1,2,2,2,2
"15577",2,2,2,2,2,2
"15578",2,1,2,2,2,2
"15579",1,2,1,2,1,1
"15580",2,1,2,2,2,2
"15581",2,1,2,1,2,2
"15582",1,1,1,1,1,1
"15583",2,1,2,2,2,2
"15584",2,1,2,2,2,1
"15585",2,1,2,1,2,2
"15586",2,1,2,2,2,2
"15587",1,2,1,2,1,2
"15588",1,2,1,1,2,1
"15589",1,2,1,2,1,1
"15590",1,2,1,1,1,1
"15591",1,2,1,1,1,1
"15592",2,1,2,2,2,2
"15593",1,2,1,2,1,1
"15594",1,2,1,2,1,1
"15595",2,1,2,2,2,2
"15596",1,1,1,1,1,1
"15597",2,1,2,2,2,2
"15598",1,2,2,2,2,2
"15599",1,1,1,2,1,1
"15600",1,2,2,1,1,1
"15601",2,1,2,2,2,1
"15602",2,1,2,2,2,2
"15603",2,1,2,2,2,1
"15604",2,1,1,1,1,1
"15605",2,1,2,2,2,2
"15606",2,1,2,2,2,2
"15607",2,1,2,2,2,2
"15608",2,1,2,2,2,1
"15609",1,2,1,2,1,1
"15610",1,1,1,1,1,1
"15611",1,2,1,1,1,1
"15612",1,1,1,1,1,2
"15613",1,1,1,1,1,1
"15614",2,1,2,2,2,2
"15615",1,2,2,2,2,2
"15616",2,1,2,2,2,2
"15617",2,1,2,2,1,2
"15618",1,1,1,1,2,1
"15619",2,2,1,2,2,1
"15620",1,1,1,1,1,1
"15621",2,1,2,2,2,2
"15622",1,1,1,2,2,1
"15623",2,1,2,2,2,2
"15624",2,1,2,2,2,2
"15625",2,1,2,1,2,2
"15626",2,1,2,2,2,1
"15627",1,2,1,1,1,1
"15628",2,1,2,2,2,2
"15629",1,1,2,1,2,2
"15630",2,1,1,1,1,1
"15631",1,2,1,1,1,1
"15632",2,1,2,1,2,2
"15633",2,1,2,1,2,1
"15634",1,1,1,1,1,1
"15635",2,1,2,2,2,1
"15636",1,2,1,2,1,1
"15637",2,1,2,2,2,2
"15638",1,1,2,2,1,2
"15639",2,1,2,2,2,2
"15640",1,1,1,1,2,2
"15641",1,2,1,2,1,1
"15642",1,1,1,1,1,1
"15643",1,1,1,1,1,1
"15644",1,2,1,1,2,1
"15645",2,1,1,2,2,1
"15646",2,1,2,2,2,2
"15647",2,1,1,2,2,2
"15648",1,1,1,1,1,2
"15649",1,1,2,1,1,1
"15650",2,1,2,2,2,1
"15651",2,2,1,2,1,1
"15652",2,1,1,2,2,1
"15653",1,1,2,1,2,2
"15654",1,2,1,2,1,1
"15655",2,1,2,2,2,2
"15656",2,1,2,1,2,1
"15657",1,1,1,1,1,1
"15658",2,1,2,2,2,2
"15659",2,2,1,2,1,1
"15660",2,1,2,2,2,2
"15661",2,1,2,1,1,2
"15662",2,1,2,2,2,2
"15663",1,2,1,1,1,1
"15664",2,1,2,2,2,1
"15665",2,1,2,2,2,2
"15666",2,1,2,2,2,2
"15667",1,1,1,2,1,1
"15668",2,1,1,2,2,1
"15669",1,1,2,1,1,2
"15670",2,1,2,2,2,2
"15671",1,2,1,2,1,1
"15672",1,2,1,1,1,1
"15673",2,1,2,1,2,2
"15674",1,1,2,1,1,2
"15675",2,1,2,2,2,2
"15676",1,2,1,2,1,1
"15677",2,1,2,2,2,2
"15678",1,2,1,1,1,1
"15679",2,1,2,2,2,2
"15680",2,1,2,2,1,1
"15681",1,2,1,2,1,1
"15682",2,1,2,2,2,2
"15683",2,1,2,2,2,2
"15684",1,1,1,1,1,1
"15685",2,1,1,1,2,2
"15686",2,1,2,2,2,2
"15687",1,2,1,2,1,1
"15688",2,1,2,2,1,2
"15689",2,1,2,2,2,2
"15690",2,1,2,2,2,2
"15691",2,1,2,1,2,2
"15692",2,1,1,2,2,2
"15693",2,1,2,2,2,2
"15694",1,1,1,1,1,1
"15695",1,2,1,1,1,2
"15696",1,1,2,2,2,1
"15697",2,1,2,2,2,2
"15698",1,1,1,1,1,1
"15699",1,1,1,1,1,2
"15700",1,2,2,2,1,1
"15701",2,1,2,2,2,2
"15702",2,1,2,1,2,2
"15703",2,1,2,1,1,1
"15704",2,1,2,2,2,1
"15705",1,1,1,2,1,1
"15706",1,2,2,2,1,1
"15707",2,1,1,1,2,2
"15708",2,1,2,2,2,2
"15709",2,1,1,2,2,1
"15710",1,1,1,2,NA,NA
"15711",1,1,1,1,1,1
"15712",1,2,1,1,1,1
"15713",2,1,2,2,2,2
"15714",2,1,2,2,2,2
"15715",2,1,2,2,1,2
"15716",2,1,1,2,2,2
"15717",2,1,2,2,2,1
"15718",2,1,2,2,2,2
"15719",2,1,2,2,2,2
"15720",1,1,1,1,1,2
"15721",2,1,1,2,1,1
"15722",2,1,2,2,2,2
"15723",2,1,2,2,2,2
"15724",1,1,1,1,1,2
"15725",2,1,1,1,2,1
"15726",1,2,1,1,1,1
"15727",1,1,1,1,1,1
"15728",2,1,2,2,1,1
"15729",1,1,1,1,1,1
"15730",2,1,2,1,2,1
"15731",2,1,2,2,1,1
"15732",1,1,2,2,1,2
"15733",1,2,1,1,1,1
"15734",2,2,1,2,1,2
"15735",2,1,2,1,2,2
"15736",2,1,2,1,2,2
"15737",1,1,1,1,1,1
"15738",2,1,2,2,1,2
"15739",2,1,2,2,2,2
"15740",2,1,2,2,2,1
"15741",2,1,2,2,2,2
"15742",2,1,2,2,2,1
"15743",1,2,1,2,1,1
"15744",1,2,1,2,1,1
"15745",1,2,1,1,1,1
"15746",2,1,2,2,2,2
"15747",2,1,2,1,2,2
"15748",2,1,2,2,2,2
"15749",2,1,2,1,2,2
"15750",1,2,1,2,1,1
"15751",2,1,2,2,2,2
"15752",2,1,2,2,2,2
"15753",2,1,2,2,2,2
"15754",1,1,1,1,1,1
"15755",2,1,2,2,2,2
"15756",1,2,1,2,1,2
"15757",1,1,2,1,1,2
"15758",1,1,1,1,1,1
"15759",2,1,2,2,2,2
"15760",2,1,2,2,1,1
"15761",2,1,2,2,2,1
"15762",2,1,2,2,2,1
"15763",1,1,1,2,2,2
"15764",2,1,2,2,2,2
"15765",1,2,2,2,1,1
"15766",1,1,1,2,1,1
"15767",1,1,1,1,1,1
"15768",2,1,2,2,2,2
"15769",1,1,1,1,1,1
"15770",2,1,2,2,2,2
"15771",2,1,2,2,2,2
"15772",1,1,1,1,1,1
"15773",2,1,2,2,2,2
"15774",2,1,2,1,2,1
"15775",2,1,2,2,2,2
"15776",1,1,1,2,1,2
"15777",2,1,1,2,2,1
"15778",1,2,1,2,1,1
"15779",1,1,1,1,1,1
"15780",1,1,1,1,1,1
"15781",2,1,2,2,2,2
"15782",2,1,1,2,2,1
"15783",2,1,2,2,2,2
"15784",1,1,2,2,1,2
"15785",1,2,1,1,1,1
"15786",1,1,2,1,1,1
"15787",1,1,1,1,1,1
"15788",2,1,2,1,2,2
"15789",2,1,2,2,2,2
"15790",2,1,2,2,2,2
"15791",2,1,2,2,2,2
"15792",1,2,1,1,1,1
"15793",2,2,2,2,2,2
"15794",1,1,1,1,1,1
"15795",2,1,2,2,2,2
"15796",2,1,2,2,2,2
"15797",2,1,2,2,1,2
"15798",1,2,1,2,1,1
"15799",1,2,1,2,1,1
"15800",1,2,1,2,1,1
"15801",1,1,1,1,1,1
"15802",1,2,1,2,1,1
"15803",1,2,2,2,1,1
"15804",2,1,2,2,2,1
"15805",2,2,2,2,2,1
"15806",1,1,1,1,1,1
"15807",1,1,1,1,1,1
"15808",1,1,1,1,1,1
"15809",1,2,2,2,1,1
"15810",2,1,2,2,2,2
"15811",2,2,2,2,2,2
"15812",2,1,1,2,2,1
"15813",1,2,1,2,1,1
"15814",1,1,2,1,1,1
"15815",2,1,2,2,1,1
"15816",1,1,1,1,1,1
"15817",2,1,2,2,2,2
"15818",2,1,2,2,2,1
"15819",1,1,1,1,2,1
"15820",2,1,2,2,2,1
"15821",NA,NA,1,1,1,1
"15822",1,2,1,1,1,1
"15823",2,1,2,1,1,1
"15824",2,1,2,1,2,2
"15825",1,2,2,2,1,1
"15826",2,1,2,2,2,2
"15827",2,1,2,2,2,2
"15828",1,1,1,1,2,1
"15829",2,1,2,2,2,2
"15830",1,1,1,1,1,1
"15831",2,1,2,2,2,2
"15832",2,2,1,2,1,2
"15833",2,1,2,2,1,1
"15834",2,1,2,2,2,2
"15835",1,2,1,2,1,1
"15836",1,1,2,2,2,1
"15837",1,1,1,1,1,1
"15838",1,1,1,1,1,1
"15839",1,1,1,1,1,1
"15840",1,1,1,1,1,1
"15841",1,2,1,2,1,1
"15842",2,1,2,2,2,2
"15843",2,1,2,1,2,1
"15844",1,2,2,2,2,1
"15845",2,1,2,2,2,2
"15846",1,1,1,1,1,2
"15847",2,1,2,2,2,1
"15848",2,1,1,2,2,2
"15849",1,1,2,1,1,1
"15850",1,2,1,2,1,1
"15851",2,1,2,1,2,2
"15852",1,2,1,2,1,1
"15853",1,1,1,1,1,1
"15854",1,1,1,1,1,2
"15855",2,2,2,2,1,1
"15856",2,1,2,2,2,1
"15857",2,2,1,2,1,2
"15858",2,1,2,2,2,2
"15859",1,2,1,2,1,1
"15860",1,1,1,2,1,1
"15861",1,2,1,1,1,1
"15862",1,1,1,1,1,1
"15863",2,1,2,2,2,2
"15864",1,2,1,2,1,1
"15865",2,1,2,2,2,2
"15866",1,2,2,1,1,1
"15867",2,2,2,2,2,2
"15868",2,2,2,2,2,1
"15869",1,2,1,2,1,1
"15870",2,1,2,2,2,2
"15871",1,1,1,1,1,1
"15872",1,1,2,1,1,1
"15873",1,1,1,1,1,1
"15874",2,1,2,1,2,1
"15875",2,1,2,2,2,2
"15876",2,1,2,2,2,1
"15877",2,1,2,2,1,1
"15878",2,1,2,2,2,2
"15879",2,1,2,2,2,2
"15880",2,1,2,2,2,2
"15881",1,2,1,2,1,1
"15882",2,1,1,1,1,1
"15883",2,1,1,2,1,1
"15884",2,1,2,2,2,2
"15885",2,1,2,1,2,2
"15886",2,1,1,2,2,1
"15887",2,1,2,2,2,2
"15888",1,1,1,1,1,1
"15889",1,1,1,1,1,1
"15890",1,2,1,1,1,1
"15891",1,2,2,1,1,1
"15892",2,1,2,1,2,2
"15893",2,1,2,2,2,2
"15894",2,2,2,2,2,2
"15895",1,1,2,2,2,1
"15896",1,1,1,1,1,1
"15897",1,2,1,1,1,1
"15898",1,2,1,2,1,2
"15899",2,1,2,2,2,1
"15900",1,2,2,2,1,1
"15901",1,1,1,1,1,1
"15902",2,1,1,2,1,1
"15903",1,1,1,1,1,1
"15904",2,1,2,2,1,1
"15905",1,2,1,2,1,1
"15906",2,1,2,2,2,2
"15907",2,2,1,2,1,1
"15908",1,2,1,1,1,1
"15909",1,2,2,2,1,1
"15910",1,2,1,2,1,1
"15911",1,1,1,1,1,1
"15912",2,1,2,2,2,2
"15913",2,1,2,2,2,1
"15914",2,1,2,2,2,2
"15915",2,1,2,2,2,2
"15916",1,1,2,2,1,1
"15917",1,1,1,1,1,1
"15918",1,1,2,2,1,1
"15919",1,1,1,2,2,1
"15920",1,1,2,1,1,1
"15921",1,1,1,NA,1,1
"15922",1,1,1,1,1,1
"15923",1,1,1,2,2,2
"15924",2,1,2,2,2,2
"15925",2,1,2,2,2,2
"15926",1,1,1,1,1,1
"15927",2,1,1,2,2,2
"15928",1,2,1,2,1,1
"15929",2,1,2,2,2,2
"15930",2,1,2,1,2,2
"15931",2,1,2,1,2,2
"15932",2,1,2,2,2,2
"15933",1,1,2,1,1,1
"15934",1,2,1,2,1,1
"15935",2,1,2,2,2,2
"15936",2,1,2,2,2,1
"15937",2,1,2,1,2,2
"15938",2,1,2,2,2,2
"15939",2,1,2,2,2,2
"15940",1,2,2,2,1,1
"15941",1,2,1,1,1,1
"15942",2,1,2,2,2,2
"15943",1,1,1,1,1,1
"15944",2,1,2,2,2,2
"15945",1,2,1,2,1,2
"15946",2,1,2,1,2,2
"15947",2,1,2,2,2,1
"15948",2,1,2,2,2,2
"15949",2,1,2,2,2,2
"15950",1,2,1,1,2,1
"15951",2,1,2,2,2,1
"15952",2,1,2,2,2,2
"15953",1,1,1,1,1,1
"15954",2,1,2,2,2,2
"15955",2,1,2,2,2,2
"15956",1,1,1,1,1,1
"15957",1,2,1,1,1,1
"15958",1,2,1,1,1,1
"15959",1,2,1,1,1,1
"15960",2,1,2,2,2,2
"15961",2,1,2,2,2,2
"15962",1,1,2,1,2,2
"15963",2,2,2,1,1,1
"15964",2,1,2,2,2,2
"15965",1,2,1,2,1,1
"15966",1,1,1,1,1,1
"15967",1,2,1,2,1,1
"15968",2,1,2,2,2,1
"15969",2,1,1,2,2,1
"15970",2,1,2,1,2,2
"15971",1,1,1,1,1,2
"15972",2,1,2,2,2,2
"15973",2,1,1,2,2,1
"15974",2,1,2,2,2,2
"15975",2,1,1,2,1,1
"15976",2,1,2,1,2,2
"15977",1,2,2,2,1,1
"15978",2,1,2,2,1,1
"15979",1,1,1,1,1,1
"15980",2,1,2,2,2,2
"15981",2,1,2,2,2,2
"15982",2,1,2,2,2,2
"15983",2,1,2,2,2,2
"15984",1,1,2,2,2,2
"15985",2,1,1,1,2,1
"15986",1,1,1,1,2,2
"15987",2,1,2,2,2,2
"15988",2,1,2,2,2,2
"15989",1,1,1,1,1,1
"15990",1,1,2,1,1,1
"15991",2,1,2,2,2,2
"15992",1,2,1,1,1,1
"15993",2,1,1,1,2,2
"15994",NA,1,2,2,1,1
"15995",1,2,1,1,1,1
"15996",1,1,2,1,1,1
"15997",1,1,1,1,1,1
"15998",2,1,2,2,1,2
"15999",2,2,2,2,1,2
"16000",1,1,NA,1,1,1
"16001",2,1,2,2,1,1
"16002",2,1,2,2,1,2
"16003",2,1,2,2,2,2
"16004",2,1,2,1,2,2
"16005",2,1,2,2,2,2
"16006",1,2,1,1,1,2
"16007",2,1,2,2,2,2
"16008",1,2,1,1,1,1
"16009",2,1,2,2,2,2
"16010",1,1,2,1,1,1
"16011",1,2,2,2,1,1
"16012",1,1,2,1,1,1
"16013",2,1,2,2,2,2
"16014",1,1,2,1,1,1
"16015",2,1,2,2,2,2
"16016",2,1,2,2,2,2
"16017",1,2,1,1,1,1
"16018",2,1,2,2,2,2
"16019",2,1,2,1,2,2
"16020",1,2,1,2,1,1
"16021",1,1,1,1,1,1
"16022",2,1,2,2,2,2
"16023",1,1,1,1,1,1
"16024",2,2,2,2,2,1
"16025",2,1,2,2,2,2
"16026",2,1,2,2,2,1
"16027",2,1,2,2,2,2
"16028",2,1,2,2,2,2
"16029",1,2,2,2,1,1
"16030",1,1,1,1,1,1
"16031",2,2,1,1,1,1
"16032",2,1,2,2,2,2
"16033",1,1,1,1,1,1
"16034",1,1,1,1,1,1
"16035",1,2,2,2,2,1
"16036",2,1,2,2,2,2
"16037",2,1,2,1,2,1
"16038",2,1,2,1,2,2
"16039",1,2,1,1,1,1
"16040",1,2,1,1,1,1
"16041",2,1,2,2,1,1
"16042",2,1,2,2,2,2
"16043",1,2,1,2,1,1
"16044",2,1,2,2,1,1
"16045",2,1,2,2,2,1
"16046",2,1,2,2,2,1
"16047",1,2,1,2,1,1
"16048",1,1,1,1,1,1
"16049",1,1,1,2,1,1
"16050",1,1,1,1,1,1
"16051",2,1,2,2,2,2
"16052",2,1,2,2,2,2
"16053",1,2,1,2,1,1
"16054",2,1,2,2,2,2
"16055",2,1,2,1,2,2
"16056",1,1,1,1,2,1
"16057",2,1,2,2,2,2
"16058",1,1,1,1,1,1
"16059",1,1,1,2,1,1
"16060",2,1,2,2,2,2
"16061",1,2,1,1,1,1
"16062",1,1,1,1,1,1
"16063",2,1,2,2,2,1
"16064",1,1,1,1,1,1
"16065",2,1,2,2,2,2
"16066",2,1,2,2,2,2
"16067",1,2,1,1,1,1
"16068",2,1,2,2,2,1
"16069",2,1,2,2,2,2
"16070",2,1,1,2,1,2
"16071",1,2,1,2,1,1
"16072",2,1,1,1,2,2
"16073",2,1,2,2,2,2
"16074",2,1,2,2,1,2
"16075",2,1,2,2,2,1
"16076",2,1,2,1,2,1
"16077",2,1,2,2,2,2
"16078",2,1,2,2,1,2
"16079",1,2,2,2,1,1
"16080",1,1,1,1,1,1
"16081",1,1,1,1,1,1
"16082",1,1,1,1,1,1
"16083",2,1,1,2,2,2
"16084",1,2,1,2,1,1
"16085",1,2,2,2,1,1
"16086",1,2,1,1,1,1
"16087",2,1,2,2,2,2
"16088",2,1,2,2,2,2
"16089",2,1,2,1,2,2
"16090",2,2,1,2,1,1
"16091",2,2,2,2,2,2
"16092",1,1,1,1,1,2
"16093",2,1,2,2,1,1
"16094",1,1,1,2,1,1
"16095",2,1,1,2,2,1
"16096",2,1,2,1,2,1
"16097",1,1,1,1,2,1
"16098",1,1,2,2,2,1
"16099",1,2,1,1,1,1
"16100",2,1,2,2,2,2
"16101",1,1,2,1,2,1
"16102",2,1,2,2,2,2
"16103",2,1,2,2,2,2
"16104",2,1,2,2,2,2
"16105",2,1,2,2,2,1
"16106",2,1,2,1,2,2
"16107",2,1,2,2,2,2
"16108",2,1,2,2,2,2
"16109",2,1,2,2,2,2
"16110",1,1,1,1,1,1
"16111",2,1,2,1,2,2
"16112",2,1,2,2,2,2
"16113",2,1,2,1,2,2
"16114",1,1,2,2,1,1
"16115",1,2,1,2,1,1
"16116",1,1,1,1,1,1
"16117",2,1,2,2,2,2
"16118",1,1,2,2,1,1
"16119",2,1,2,1,2,2
"16120",1,1,1,1,1,1
"16121",2,1,2,2,1,1
"16122",1,1,2,2,2,2
"16123",2,1,2,2,2,2
"16124",1,2,1,1,1,1
"16125",2,1,2,2,1,2
"16126",2,1,2,1,2,1
"16127",2,1,1,2,2,1
"16128",1,2,1,1,1,1
"16129",1,2,1,1,1,1
"16130",2,1,2,2,2,2
"16131",1,1,2,2,1,1
"16132",2,1,2,2,2,2
"16133",1,1,1,1,1,1
"16134",1,2,1,2,1,1
"16135",2,1,1,2,1,1
"16136",1,1,1,2,2,2
"16137",2,1,2,2,2,1
"16138",1,1,1,1,1,1
"16139",2,1,1,2,1,1
"16140",2,1,2,1,2,1
"16141",1,2,2,2,1,2
"16142",1,2,1,2,2,2
"16143",1,1,1,2,1,1
"16144",2,1,2,2,2,1
"16145",2,2,2,2,2,1
"16146",1,1,1,1,1,1
"16147",1,1,1,1,1,1
"16148",1,2,2,2,1,1
"16149",1,2,1,2,1,2
"16150",2,1,1,2,2,1
"16151",2,1,2,2,1,1
"16152",2,1,2,1,2,1
"16153",2,1,2,2,2,2
"16154",1,1,1,2,1,1
"16155",1,1,1,1,1,1
"16156",1,1,2,2,2,1
"16157",1,2,1,2,1,1
"16158",2,2,1,2,1,1
"16159",1,1,1,1,1,1
"16160",2,2,1,2,2,1
"16161",2,1,2,2,2,2
"16162",1,2,1,1,1,1
"16163",2,1,1,1,2,2
"16164",1,1,1,2,1,1
"16165",1,2,1,1,1,1
"16166",2,1,2,2,2,2
"16167",1,2,1,1,1,1
"16168",2,1,2,2,2,1
"16169",1,1,1,1,1,2
"16170",1,2,1,2,1,1
"16171",1,2,1,2,1,1
"16172",2,1,2,2,2,2
"16173",1,2,2,2,1,1
"16174",2,1,2,2,1,1
"16175",1,2,1,2,1,1
"16176",1,1,1,1,1,1
"16177",2,2,2,2,2,2
"16178",2,2,2,2,1,1
"16179",2,1,2,2,2,1
"16180",2,1,2,2,2,2
"16181",2,1,2,2,2,2
"16182",2,1,1,2,1,2
"16183",1,1,1,1,1,1
"16184",2,1,2,2,2,2
"16185",2,1,2,2,2,2
"16186",2,1,2,2,2,2
"16187",1,1,2,1,1,1
"16188",2,1,1,2,2,2
"16189",2,1,2,2,2,2
"16190",2,1,2,2,2,2
"16191",2,1,2,2,2,2
"16192",2,1,2,2,2,2
"16193",1,2,1,1,1,1
"16194",1,2,1,2,1,1
"16195",2,1,2,2,2,2
"16196",2,1,2,2,2,2
"16197",2,1,2,2,1,1
"16198",1,1,1,1,2,2
"16199",1,2,2,2,2,2
"16200",2,1,1,2,2,2
"16201",2,1,2,2,2,2
"16202",1,2,2,2,1,1
"16203",1,2,1,1,1,1
"16204",2,1,2,2,2,1
"16205",1,2,1,1,1,1
"16206",1,1,1,1,1,1
"16207",2,1,2,1,2,1
"16208",2,1,1,2,2,2
"16209",1,2,1,2,1,1
"16210",2,1,2,1,2,2
"16211",2,1,2,2,2,2
"16212",2,2,2,2,2,2
"16213",2,1,2,2,2,1
"16214",2,2,2,2,2,1
"16215",1,1,1,1,1,1
"16216",1,1,1,1,1,1
"16217",2,1,2,2,2,2
"16218",1,2,1,2,1,1
"16219",1,1,1,1,1,1
"16220",1,2,1,2,1,1
"16221",2,1,2,2,2,2
"16222",2,1,2,2,2,2
"16223",1,2,2,2,1,1
"16224",2,1,2,2,2,2
"16225",1,2,1,2,1,1
"16226",1,2,1,2,1,1
"16227",1,1,1,1,1,1
"16228",2,1,2,1,2,1
"16229",2,1,2,2,2,2
"16230",2,1,2,2,2,2
"16231",1,1,1,2,2,1
"16232",2,1,2,2,2,2
"16233",2,1,2,2,2,1
"16234",1,1,1,1,1,1
"16235",1,1,2,2,2,2
"16236",2,1,1,2,2,2
"16237",2,1,2,2,2,2
"16238",2,1,2,2,2,2
"16239",1,2,1,2,1,1
"16240",1,2,1,2,1,1
"16241",1,1,1,2,1,1
"16242",1,1,1,1,1,1
"16243",1,1,1,1,1,1
"16244",1,2,2,2,1,1
"16245",2,1,2,2,2,2
"16246",2,1,2,2,2,2
"16247",1,1,2,2,1,1
"16248",1,2,1,2,1,1
"16249",2,1,2,2,2,2
"16250",1,1,1,1,1,1
"16251",2,1,2,2,2,2
"16252",1,1,2,2,2,1
"16253",1,1,2,1,1,2
"16254",1,2,1,2,1,1
"16255",1,1,1,1,2,2
"16256",1,1,2,1,1,1
"16257",1,2,1,2,1,1
"16258",2,1,2,1,2,2
"16259",2,1,2,2,2,2
"16260",1,1,1,1,1,1
"16261",1,1,1,1,1,1
"16262",1,2,1,2,1,1
"16263",1,2,1,2,1,1
"16264",1,2,1,1,1,1
"16265",2,1,2,2,2,1
"16266",2,1,2,2,2,1
"16267",2,1,2,2,2,2
"16268",2,1,2,1,2,2
"16269",1,1,1,1,2,1
"16270",1,2,2,2,1,1
"16271",2,1,2,2,2,2
"16272",1,1,2,1,1,1
"16273",1,1,1,2,1,1
"16274",2,1,1,1,2,2
"16275",2,1,2,2,2,1
"16276",2,1,2,2,1,1
"16277",2,1,2,2,2,1
"16278",1,2,1,1,1,1
"16279",1,1,1,1,1,1
"16280",1,1,1,1,1,1
"16281",1,2,1,1,1,1
"16282",1,2,1,1,1,1
"16283",2,1,2,1,2,2
"16284",2,2,1,2,2,1
"16285",1,1,1,1,1,1
"16286",1,2,2,2,1,1
"16287",2,1,2,2,2,1
"16288",2,1,2,2,2,2
"16289",1,2,1,2,1,1
"16290",2,2,2,2,1,1
"16291",2,1,2,1,1,1
"16292",1,2,1,1,1,1
"16293",2,2,2,2,1,1
"16294",1,1,1,1,1,1
"16295",2,2,2,2,1,2
"16296",2,1,2,2,2,2
"16297",1,2,2,2,1,1
"16298",2,1,2,2,2,2
"16299",2,1,2,2,2,2
"16300",2,1,2,2,2,2
"16301",2,1,2,1,2,2
"16302",1,1,1,1,2,2
"16303",1,2,2,2,1,1
"16304",2,1,2,2,2,2
"16305",2,1,2,2,2,2
"16306",2,1,2,2,2,1
"16307",1,1,1,1,1,1
"16308",2,1,2,2,2,2
"16309",2,2,2,2,2,2
"16310",2,1,2,2,2,2
"16311",2,1,1,2,1,1
"16312",2,1,2,1,2,1
"16313",2,1,1,2,1,1
"16314",1,2,1,2,1,1
"16315",1,1,1,1,2,1
"16316",1,1,1,1,1,2
"16317",2,1,2,2,2,2
"16318",2,1,2,2,2,2
"16319",2,1,2,2,2,2
"16320",2,1,2,2,2,2
"16321",1,2,1,1,2,1
"16322",1,2,1,2,1,1
"16323",1,1,1,1,1,1
"16324",1,1,1,1,2,2
"16325",2,1,1,2,2,2
"16326",2,1,2,2,1,2
"16327",1,1,2,1,1,1
"16328",2,1,2,2,2,2
"16329",1,2,2,2,1,1
"16330",2,1,1,2,1,2
"16331",1,1,1,1,1,1
"16332",2,1,2,2,2,2
"16333",1,1,1,1,1,1
"16334",2,1,1,1,2,2
"16335",2,1,2,2,2,1
"16336",2,1,2,1,2,2
"16337",1,1,1,2,1,2
"16338",2,2,2,1,2,2
"16339",2,1,1,2,2,1
"16340",1,2,1,2,1,1
"16341",1,2,1,1,1,2
"16342",2,1,2,2,2,1
"16343",2,1,2,2,2,2
"16344",2,1,2,2,2,2
"16345",1,1,1,1,1,1
"16346",2,1,2,1,2,2
"16347",1,1,1,1,2,1
"16348",2,2,1,2,1,1
"16349",1,1,1,1,1,1
"16350",2,1,2,2,2,2
"16351",1,2,1,1,1,1
"16352",2,1,2,2,2,1
"16353",2,1,1,2,2,2
"16354",1,1,2,1,1,2
"16355",2,1,2,2,2,2
"16356",2,1,2,2,2,2
"16357",1,1,1,1,2,1
"16358",1,1,1,1,1,2
"16359",2,1,2,2,2,2
"16360",1,2,2,2,1,1
"16361",1,1,1,1,1,1
"16362",1,1,2,1,1,1
"16363",2,1,2,2,2,1
"16364",1,2,1,1,1,1
"16365",1,2,1,1,1,1
"16366",2,1,2,2,2,2
"16367",2,1,2,2,2,2
"16368",1,2,1,1,1,1
"16369",2,1,2,2,2,2
"16370",2,1,2,2,1,1
"16371",2,1,2,2,2,2
"16372",2,1,2,2,2,2
"16373",1,1,2,2,2,1
"16374",2,1,2,2,2,1
"16375",1,1,2,2,1,1
"16376",2,1,2,2,2,1
"16377",1,1,1,1,2,2
"16378",1,1,1,1,1,1
"16379",1,2,1,1,1,1
"16380",1,2,1,2,1,1
"16381",2,1,2,2,2,2
"16382",1,2,1,1,1,1
"16383",1,1,1,1,1,1
"16384",1,2,1,2,1,1
"16385",2,1,1,2,1,1
"16386",1,1,1,1,1,1
"16387",2,1,2,2,2,2
"16388",2,1,2,2,2,2
"16389",2,1,2,2,2,2
"16390",2,1,2,2,1,2
"16391",2,1,1,2,1,1
"16392",2,1,2,2,2,2
"16393",2,1,2,2,2,2
"16394",1,1,2,1,1,1
"16395",2,1,2,1,1,2
"16396",NA,NA,2,1,1,2
"16397",1,1,1,1,1,1
"16398",1,1,1,1,1,2
"16399",2,1,1,2,1,1
"16400",1,1,2,1,1,1
"16401",2,1,1,1,1,2
"16402",2,1,1,2,1,1
"16403",2,1,2,2,2,2
"16404",1,1,1,1,1,1
"16405",2,1,1,1,2,1
"16406",2,1,2,2,2,2
"16407",2,1,2,2,2,2
"16408",1,1,1,1,1,1
"16409",2,1,2,1,2,2
"16410",2,1,2,2,2,2
"16411",2,1,2,2,2,2
"16412",1,1,2,1,1,1
"16413",1,1,1,1,1,1
