"","CC18_322a","CC18_322b","CC18_322c_new","CC18_322d_new","CC18_322c","CC18_322f"
"195",2,1,NA,NA,2,2
"196",2,1,NA,NA,2,2
"197",2,1,NA,NA,1,2
"198",1,1,NA,NA,2,1
"199",1,1,NA,NA,2,2
"200",2,1,2,1,1,2
"201",1,1,NA,NA,1,1
"202",1,1,NA,NA,1,1
"203",2,1,NA,NA,2,1
"204",1,2,NA,NA,2,1
"205",2,1,2,2,2,2
"206",2,1,NA,NA,2,1
"207",2,2,NA,NA,1,1
"208",2,1,NA,NA,2,2
"209",1,2,NA,NA,1,1
"210",2,2,NA,NA,1,1
"211",2,1,NA,NA,1,1
"212",2,1,NA,NA,2,2
"213",1,2,NA,NA,1,1
"214",1,2,1,1,1,1
"215",2,1,NA,NA,2,2
"216",1,1,1,1,1,1
"217",1,1,1,2,2,1
"218",2,1,NA,NA,2,2
"219",1,1,NA,NA,1,1
"220",2,1,1,2,2,2
"221",1,1,NA,NA,1,1
"222",2,1,NA,NA,2,2
"223",2,2,NA,NA,1,1
"224",2,1,NA,NA,2,1
"225",1,2,NA,NA,2,2
"226",2,1,NA,NA,2,2
"227",1,2,NA,NA,2,1
"228",2,1,NA,NA,2,2
"229",1,1,NA,NA,1,1
"230",2,1,NA,NA,2,2
"231",2,1,NA,NA,2,2
"232",1,1,NA,NA,1,1
"233",2,1,NA,NA,1,1
"234",2,1,NA,NA,2,2
"235",2,1,NA,NA,2,2
"236",2,2,NA,NA,1,2
"237",1,2,NA,NA,1,1
"238",2,1,2,2,2,2
"239",2,1,NA,NA,2,1
"240",2,1,2,2,2,2
"241",2,1,NA,NA,1,2
"242",2,2,NA,NA,1,1
"243",2,1,NA,NA,2,2
"244",2,1,NA,NA,2,2
"245",2,1,2,2,2,2
"246",2,1,NA,NA,2,1
"247",NA,2,NA,NA,1,1
"248",2,1,NA,NA,2,2
"249",2,1,NA,NA,2,2
"250",2,1,NA,NA,2,2
"251",2,1,NA,NA,2,2
"252",1,2,NA,NA,1,1
"253",2,1,NA,NA,2,1
"254",2,1,NA,NA,2,2
"255",1,1,NA,NA,1,1
"256",1,2,NA,NA,1,1
"257",2,1,NA,NA,2,2
"258",1,2,1,2,1,2
"259",2,1,NA,NA,1,1
"260",2,1,NA,NA,2,2
"261",1,1,NA,NA,1,1
"262",1,1,1,1,2,2
"263",2,1,NA,NA,2,2
"264",1,1,NA,NA,1,1
"265",1,1,NA,NA,1,1
"266",2,1,NA,NA,1,1
"267",1,2,NA,NA,1,1
"268",2,2,NA,NA,2,1
"269",1,2,NA,NA,1,1
"270",1,2,NA,NA,1,1
"271",2,1,NA,NA,2,2
"272",NA,2,NA,NA,1,2
"273",1,2,NA,NA,1,1
"274",1,2,NA,NA,1,1
"275",2,1,NA,NA,2,2
"276",1,2,NA,NA,1,1
"277",1,2,NA,NA,1,1
"278",2,1,NA,NA,2,1
"279",1,2,NA,NA,1,1
"280",2,1,NA,NA,2,2
"281",2,1,NA,NA,2,1
"282",1,1,NA,NA,1,1
"283",1,2,NA,NA,1,1
"284",2,1,NA,NA,2,2
"285",2,1,NA,NA,2,2
"286",2,1,NA,NA,2,2
"287",1,1,NA,NA,1,1
"288",1,1,NA,NA,1,1
"289",2,1,NA,NA,2,2
"290",2,1,NA,NA,1,1
"291",2,1,NA,NA,2,1
"292",2,1,NA,NA,2,2
"293",1,2,NA,NA,1,1
"294",1,1,NA,NA,1,1
"295",2,1,NA,NA,2,2
"296",1,2,NA,NA,1,1
"297",2,1,NA,NA,2,1
"298",2,1,NA,NA,2,1
"299",1,2,NA,NA,1,1
"300",2,2,NA,NA,1,2
"301",2,1,NA,NA,1,2
"302",2,1,NA,NA,1,1
"303",2,1,NA,NA,2,2
"304",1,2,NA,NA,1,1
"305",2,1,NA,NA,2,2
"306",1,1,NA,NA,1,1
"307",2,1,NA,NA,2,2
"308",2,1,NA,NA,2,2
"309",2,2,NA,NA,1,1
"310",2,1,NA,NA,2,2
"311",2,1,NA,NA,2,2
"312",1,2,NA,NA,1,1
"313",2,1,NA,NA,1,2
"314",1,1,NA,NA,1,1
"315",2,2,NA,NA,2,2
"316",2,1,NA,NA,2,2
"317",2,1,NA,NA,2,2
"318",2,1,NA,NA,2,2
"319",2,1,NA,NA,2,2
"320",2,1,NA,NA,2,2
"321",2,1,NA,NA,2,1
"322",2,2,NA,NA,2,2
"323",1,2,NA,NA,1,1
"324",2,1,NA,NA,2,1
"325",2,2,NA,NA,2,1
"326",1,1,NA,NA,2,1
"327",2,1,NA,NA,2,2
"328",1,2,NA,NA,1,1
"329",1,1,1,1,1,1
"330",1,2,NA,NA,NA,1
"331",2,1,NA,NA,2,2
"332",2,1,NA,NA,2,2
"333",2,2,2,2,2,1
"334",2,1,NA,NA,2,1
"335",1,2,NA,NA,1,1
"336",2,1,NA,NA,1,1
"337",2,1,NA,NA,2,2
"338",2,1,NA,NA,2,2
"339",1,1,NA,NA,1,1
"340",1,1,NA,NA,2,1
"341",1,2,NA,NA,1,1
"342",1,2,NA,NA,1,2
"343",2,1,NA,NA,2,2
"344",2,1,NA,NA,2,1
"345",2,1,NA,NA,1,2
"346",1,2,NA,NA,1,1
"347",2,1,NA,NA,1,2
"348",1,1,NA,NA,1,1
"349",2,1,NA,NA,2,2
"350",1,2,NA,NA,1,1
"351",1,2,NA,NA,1,1
"352",2,1,NA,NA,2,1
"353",2,1,NA,NA,2,2
"354",1,1,NA,NA,1,1
"355",2,1,NA,NA,2,2
"356",1,2,NA,NA,1,1
"357",2,1,NA,NA,2,2
"358",2,1,2,2,2,2
"359",2,1,NA,NA,2,2
"360",1,1,NA,NA,1,1
"361",1,2,NA,NA,1,1
"362",2,2,NA,NA,2,1
"363",2,1,NA,NA,2,2
"364",1,2,NA,NA,1,1
"365",1,1,NA,NA,2,1
"366",1,1,NA,NA,1,1
"367",2,1,NA,NA,2,2
"368",1,1,NA,NA,1,1
"369",2,1,NA,NA,2,1
"370",2,1,NA,NA,1,1
"371",2,1,NA,NA,2,2
"372",2,1,NA,NA,2,2
"373",2,1,NA,NA,2,2
"374",2,1,NA,NA,2,1
"375",1,2,NA,NA,1,1
"376",2,1,NA,NA,2,2
"377",2,1,2,2,2,2
"378",1,2,NA,NA,1,1
"379",2,1,NA,NA,2,2
"380",2,1,NA,NA,2,2
"381",1,2,NA,NA,1,1
"382",2,1,NA,NA,2,2
"383",1,1,NA,NA,1,1
"384",2,1,NA,NA,2,2
"385",2,1,NA,NA,2,2
"386",1,1,NA,NA,1,1
"387",1,1,NA,NA,1,1
"388",2,1,NA,NA,2,2
"389",2,1,NA,NA,2,2
"390",2,1,NA,NA,2,2
"391",2,1,NA,NA,2,2
"392",1,2,NA,NA,1,1
"393",2,1,NA,NA,2,2
"394",2,1,NA,NA,2,2
"395",NA,1,NA,NA,2,2
"396",2,1,NA,NA,2,2
"397",1,2,NA,NA,1,1
"398",1,1,NA,NA,1,1
"399",1,1,NA,NA,1,2
"400",2,1,NA,NA,2,2
"401",2,1,NA,NA,2,2
"402",2,1,NA,NA,2,1
"403",2,1,NA,NA,2,1
"404",1,2,NA,NA,1,1
"405",2,2,NA,NA,1,1
"406",2,1,NA,NA,2,2
"407",2,1,NA,NA,1,2
"408",2,1,NA,NA,2,1
"409",2,1,NA,NA,2,1
"410",1,2,NA,NA,1,1
"411",1,2,NA,NA,1,1
"412",2,1,NA,NA,2,1
"413",2,1,NA,NA,2,2
"414",2,1,NA,NA,2,2
"415",2,1,NA,NA,2,2
"416",1,1,NA,NA,2,1
"417",2,1,NA,NA,1,1
"418",2,1,NA,NA,2,2
"419",2,1,NA,NA,1,2
"420",1,1,NA,NA,1,1
"421",1,1,NA,NA,1,1
"422",2,1,NA,NA,2,2
"423",2,1,NA,NA,2,2
"424",1,2,NA,NA,1,1
"425",2,1,NA,NA,2,2
"426",2,1,NA,NA,2,2
"427",2,1,NA,NA,2,2
"428",2,1,NA,NA,2,2
"429",2,1,NA,NA,2,2
"430",2,1,NA,NA,1,1
"431",2,1,NA,NA,2,2
"432",2,1,NA,NA,2,2
"433",1,1,NA,NA,1,1
"434",1,2,NA,NA,1,1
"435",1,1,NA,NA,1,1
"436",1,2,NA,NA,1,1
"437",2,1,NA,NA,2,2
"438",2,1,NA,NA,2,1
"439",2,1,NA,NA,2,2
"440",2,2,NA,NA,1,1
"441",2,1,NA,NA,2,1
"442",2,1,NA,NA,2,2
"443",2,1,NA,NA,2,2
"444",1,2,NA,NA,1,1
"445",1,2,NA,NA,1,1
"446",2,1,NA,NA,1,1
"447",1,1,NA,NA,1,1
"448",1,2,NA,NA,1,1
"449",2,1,NA,NA,2,1
"450",2,1,NA,NA,2,1
"451",2,1,NA,NA,1,1
"452",1,2,NA,NA,1,1
"453",1,2,NA,NA,1,1
"454",1,2,NA,NA,1,1
"455",2,1,NA,NA,2,2
"456",1,1,NA,NA,1,1
"457",1,2,NA,NA,1,1
"458",2,1,NA,NA,2,2
"459",1,1,NA,NA,1,1
"460",2,1,NA,NA,2,2
"461",1,2,NA,NA,1,1
"462",2,1,NA,NA,2,2
"463",1,2,NA,NA,1,1
"464",1,2,NA,NA,1,1
"465",1,2,NA,NA,1,1
"466",1,1,NA,NA,1,1
"467",2,1,NA,NA,2,2
"468",1,2,NA,NA,1,1
"469",1,1,NA,NA,2,1
"470",1,1,NA,NA,1,1
"471",1,1,NA,NA,1,1
"472",1,1,NA,NA,1,1
"473",2,1,NA,NA,2,2
"474",1,1,NA,NA,2,1
"475",1,2,NA,NA,1,1
"476",1,1,NA,NA,1,1
"477",1,1,NA,NA,1,1
"478",1,2,NA,NA,1,1
"479",1,1,NA,NA,1,2
"480",2,1,NA,NA,2,1
"481",2,1,NA,NA,2,2
"482",2,1,NA,NA,2,2
"483",1,2,NA,NA,1,1
"484",1,2,NA,NA,1,1
"485",1,2,NA,NA,1,1
"486",2,1,NA,NA,1,1
"487",1,1,NA,NA,1,1
"488",1,1,NA,NA,1,1
"489",2,1,NA,NA,2,1
"490",2,2,NA,NA,2,2
"491",1,1,NA,NA,1,1
"492",2,1,NA,NA,2,2
"493",1,1,NA,NA,1,1
"494",1,2,NA,NA,1,1
"495",2,1,NA,NA,2,2
"496",1,2,NA,NA,1,1
"497",2,1,NA,NA,2,1
"498",1,2,NA,NA,1,1
"499",1,2,NA,NA,1,1
"500",1,2,NA,NA,1,1
"501",1,2,NA,NA,1,1
"502",2,1,NA,NA,2,2
"503",2,1,NA,NA,2,2
"504",2,1,NA,NA,2,2
"505",1,1,NA,NA,1,2
"506",1,1,NA,NA,1,1
"507",1,1,NA,NA,1,1
"508",1,1,NA,NA,2,2
"509",1,2,NA,NA,1,1
"510",1,1,NA,NA,1,2
"511",1,1,NA,NA,1,2
"512",2,1,NA,NA,2,2
"513",1,2,NA,NA,1,1
"514",1,2,NA,NA,1,1
"515",2,1,NA,NA,2,2
"516",1,2,NA,NA,1,1
"517",2,1,NA,NA,2,1
"518",1,1,NA,NA,1,1
"519",1,2,NA,NA,1,1
"520",1,2,NA,NA,1,1
"521",1,1,NA,NA,1,1
"522",2,1,NA,NA,2,2
"523",NA,NA,NA,NA,NA,NA
"524",2,1,NA,NA,1,1
"525",1,2,NA,NA,1,1
"526",2,2,NA,NA,1,1
"527",1,2,NA,NA,1,2
"528",1,2,NA,NA,2,1
"529",2,1,NA,NA,2,1
"530",2,1,NA,NA,2,2
"531",1,2,NA,NA,1,1
"532",1,2,NA,NA,1,1
"533",2,1,NA,NA,1,2
"534",1,1,NA,NA,1,1
"535",2,1,NA,NA,2,2
"536",2,1,NA,NA,2,2
"537",1,2,NA,NA,1,1
"538",1,1,NA,NA,1,1
"539",2,1,NA,NA,2,2
"540",1,1,NA,NA,2,1
"541",2,1,NA,NA,2,2
"542",1,1,NA,NA,1,1
"543",1,2,NA,NA,1,1
"544",2,1,NA,NA,2,2
"545",1,1,NA,NA,1,2
"546",2,1,NA,NA,2,1
"547",1,1,NA,NA,1,1
"548",2,1,NA,NA,2,1
"549",1,2,NA,NA,1,1
"550",2,1,NA,NA,2,2
"551",2,1,NA,NA,2,2
"552",2,2,NA,NA,1,1
"553",2,1,NA,NA,2,2
"554",2,1,NA,NA,2,2
"555",2,1,NA,NA,2,2
"556",1,1,NA,NA,1,1
"557",2,2,NA,NA,1,2
"558",2,1,NA,NA,2,NA
"559",2,1,NA,NA,2,1
"560",2,1,NA,NA,2,2
"561",2,1,NA,NA,2,2
"562",2,1,NA,NA,2,2
"563",2,2,NA,NA,2,1
"564",1,2,NA,NA,1,1
"565",1,2,NA,NA,1,1
"566",1,2,NA,NA,1,1
"567",2,1,NA,NA,1,1
"568",2,1,NA,NA,2,2
"569",2,1,NA,NA,2,2
"570",2,1,NA,NA,2,1
"571",1,2,NA,NA,1,1
"572",1,2,NA,NA,1,1
"573",1,1,NA,NA,1,1
"574",2,1,NA,NA,2,2
"575",1,1,NA,NA,1,1
"576",2,1,NA,NA,2,2
"577",2,2,1,2,1,1
"578",2,1,NA,NA,2,1
"579",1,1,1,1,1,1
"580",1,NA,NA,NA,1,NA
"581",2,1,NA,NA,2,1
"582",2,1,NA,NA,2,2
"583",1,1,NA,NA,1,1
"584",2,1,NA,NA,2,2
"585",1,1,NA,NA,1,1
"586",1,1,NA,NA,1,1
"587",1,1,NA,NA,1,1
"588",2,1,NA,NA,2,2
"589",2,2,2,2,2,2
"590",1,2,NA,NA,1,1
"591",1,1,NA,NA,1,1
"592",2,1,NA,NA,2,2
"593",2,NA,NA,NA,2,2
"594",1,2,NA,NA,1,1
"595",2,1,2,2,2,2
"596",1,1,NA,NA,1,1
"597",1,NA,1,NA,1,1
"598",2,1,NA,NA,2,2
"599",2,1,NA,NA,2,2
"600",2,1,NA,NA,2,1
"601",1,1,NA,NA,1,1
"602",1,1,2,2,2,1
"603",1,2,NA,NA,1,1
"604",2,1,NA,NA,2,2
"605",1,2,NA,NA,1,1
"606",1,2,NA,NA,1,1
"607",2,2,NA,NA,2,1
"608",1,1,NA,NA,1,1
"609",1,1,NA,NA,1,1
"610",1,2,NA,NA,1,1
"611",2,2,NA,NA,2,1
"612",1,1,NA,NA,1,1
"613",1,1,NA,NA,1,1
"614",2,2,1,2,2,1
"615",2,1,NA,NA,2,2
"616",1,1,NA,NA,1,2
"617",2,1,NA,NA,2,2
"618",1,1,NA,NA,2,2
"619",1,2,NA,NA,1,1
"620",1,1,NA,NA,1,1
"621",NA,NA,NA,NA,2,2
"622",1,2,NA,NA,1,1
"623",1,2,NA,NA,1,1
"624",1,2,NA,NA,1,1
"625",2,1,NA,NA,2,2
"626",2,1,NA,NA,2,2
"627",2,1,NA,NA,2,2
"628",2,1,NA,NA,2,1
"629",2,2,NA,NA,1,1
"630",2,1,NA,NA,2,1
"631",1,2,NA,NA,1,1
"632",1,2,NA,NA,1,2
"633",2,1,NA,NA,2,2
"634",1,1,NA,NA,1,1
"635",1,1,NA,NA,1,1
"636",2,1,NA,NA,2,2
"637",2,1,NA,NA,1,2
"638",2,1,NA,NA,2,2
"639",1,2,NA,NA,1,1
"640",2,1,NA,NA,2,2
"641",2,1,NA,NA,2,1
"642",2,1,2,2,2,2
"643",1,2,NA,NA,1,1
"644",1,2,NA,NA,1,1
"645",1,2,2,1,1,1
"646",2,1,NA,NA,2,2
"647",2,1,2,1,2,1
"648",1,2,NA,NA,1,1
"649",2,1,NA,NA,2,2
"650",1,1,NA,NA,2,1
"651",2,1,NA,NA,NA,1
"652",2,1,NA,NA,2,2
"653",1,2,NA,NA,1,1
"654",1,2,NA,NA,1,1
"655",1,1,NA,NA,1,1
"656",1,2,NA,NA,1,1
"657",2,1,NA,NA,2,1
"658",2,1,NA,NA,2,2
"659",2,2,NA,NA,2,2
"660",1,1,NA,NA,1,1
"661",1,2,NA,NA,1,1
"662",2,1,NA,NA,2,2
"663",1,2,NA,NA,1,1
"664",2,1,NA,NA,2,2
"665",2,1,NA,NA,2,2
"666",2,1,NA,NA,1,1
"667",1,1,1,2,1,1
"668",1,2,1,1,1,1
"669",1,2,NA,NA,1,1
"670",2,1,NA,NA,2,2
"671",2,1,NA,NA,2,2
"672",1,2,NA,NA,1,1
"673",1,2,NA,NA,1,1
"674",1,2,NA,NA,1,1
"675",2,1,NA,NA,2,2
"676",2,1,2,2,2,2
"677",1,1,NA,NA,1,1
"678",1,1,1,1,1,1
"679",2,1,NA,NA,2,2
"680",2,1,NA,NA,2,1
"681",1,2,NA,NA,1,1
"682",2,1,NA,NA,2,2
"683",2,1,2,2,2,2
"684",2,1,NA,NA,1,1
"685",1,1,NA,NA,2,1
"686",1,1,NA,NA,1,1
"687",1,1,1,1,2,1
"688",2,2,NA,NA,1,1
"689",2,1,NA,NA,2,2
"690",2,1,NA,NA,2,2
"691",2,1,NA,NA,1,2
"692",2,1,NA,NA,2,1
"693",2,1,NA,NA,2,1
"694",2,1,NA,NA,1,2
"695",1,1,NA,NA,1,1
"696",2,1,NA,NA,2,1
"697",2,1,NA,NA,1,1
"698",1,1,1,1,1,1
"699",2,1,NA,NA,1,1
"700",1,1,NA,NA,1,1
"701",2,1,NA,NA,2,2
"702",2,2,NA,NA,2,2
"703",1,2,NA,NA,1,1
"704",2,2,NA,NA,1,1
"705",2,1,NA,NA,2,2
"706",1,2,NA,NA,1,1
"707",1,2,NA,NA,1,1
"708",2,1,NA,NA,1,1
"709",2,1,2,2,2,1
"710",2,2,NA,NA,1,1
"711",2,1,NA,NA,2,2
"712",1,1,1,1,1,1
"713",2,1,2,2,2,2
"714",2,1,NA,NA,2,2
"715",2,1,NA,NA,1,2
"716",2,1,NA,NA,1,1
"717",2,1,NA,NA,1,2
"718",2,1,NA,NA,2,2
"719",2,1,2,2,2,2
"720",2,1,NA,NA,2,2
"721",2,2,1,2,1,1
"722",2,1,2,2,2,2
"723",1,2,NA,NA,1,1
"724",2,1,1,2,2,1
"725",2,1,NA,NA,2,2
"726",1,2,NA,NA,1,1
"727",1,1,NA,NA,1,1
"728",1,2,1,2,1,1
"729",1,1,NA,NA,1,1
"730",2,1,NA,NA,2,2
"731",2,1,NA,NA,2,1
"732",2,1,NA,NA,2,1
"733",2,1,NA,NA,1,1
"734",2,1,NA,NA,2,1
"735",2,1,2,2,2,2
"736",2,1,NA,NA,2,1
"737",2,1,NA,NA,2,2
"738",2,1,NA,NA,1,2
"739",1,1,NA,NA,2,1
"740",2,2,NA,NA,1,1
"741",2,1,NA,NA,2,2
"742",2,1,NA,NA,2,2
"743",2,1,NA,NA,2,2
"744",2,1,NA,NA,2,2
"745",2,1,NA,NA,2,2
"746",2,1,NA,NA,2,2
"747",2,1,NA,NA,2,2
"748",2,1,NA,NA,2,2
"749",1,2,NA,NA,1,1
"750",2,1,NA,NA,2,1
"751",2,1,NA,NA,2,2
"752",2,1,NA,NA,2,1
"753",2,1,NA,NA,2,2
"754",2,1,NA,NA,2,2
"755",1,2,NA,NA,1,1
"756",1,2,NA,NA,2,2
"757",1,2,1,1,1,1
"758",2,1,NA,NA,1,2
"759",2,1,NA,NA,2,2
"760",1,2,NA,NA,1,1
"761",1,1,NA,NA,1,1
"762",1,1,NA,NA,1,1
"763",2,1,NA,NA,2,2
"764",1,2,NA,NA,1,1
"765",1,1,NA,NA,1,1
"766",2,1,NA,NA,2,2
"767",1,2,2,1,2,1
"768",2,1,NA,NA,2,1
"769",2,1,NA,NA,2,2
"770",2,1,NA,NA,2,2
"771",1,2,NA,NA,NA,2
"772",2,2,NA,NA,1,2
"773",1,1,NA,NA,1,1
"774",1,1,NA,NA,1,1
"775",2,1,NA,NA,2,1
"776",1,1,NA,NA,1,1
"777",2,1,NA,NA,2,2
"778",1,2,NA,NA,1,1
"779",2,2,NA,NA,1,1
"780",1,2,NA,NA,1,1
"781",1,2,NA,NA,1,1
"782",1,1,NA,NA,1,2
"783",1,2,NA,NA,2,2
"784",1,2,NA,NA,1,1
"785",1,2,NA,NA,1,1
"786",1,2,NA,NA,1,1
"787",2,1,NA,NA,1,2
"788",1,2,NA,NA,1,1
"789",2,1,NA,NA,2,2
"790",1,2,NA,NA,1,1
"791",2,1,NA,NA,2,2
"792",2,1,NA,NA,2,2
"793",1,1,NA,NA,2,2
"794",1,2,NA,NA,1,1
"795",2,1,NA,NA,1,1
"796",2,1,NA,NA,2,2
"797",2,1,NA,NA,2,2
"798",NA,NA,NA,NA,NA,NA
"799",2,1,NA,NA,2,2
"800",2,1,NA,NA,2,2
"801",2,1,NA,NA,2,2
"802",2,1,NA,NA,2,2
"803",2,1,NA,NA,2,2
"804",1,2,NA,NA,1,1
"805",2,1,NA,NA,2,2
